indiv,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
7OGA2,0.3,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.1,0.1
13OCL2,3.5,4,3.4,0.5,0.4,0.5,0.1,0.5,0.6,0.5
4OMR2,1.1,1.8,1.1,1.5,1.5,1.8,2.5,3.5,0.9,0.6
2OGR2,0.6,0.5,0.4,0.9,0.1,0.3,0.3,0.4,0.3,0.2
11IGA2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.2
5OGA1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.1
2OAH1,1.6,0.9,2.1,1.7,1.9,0.6,1.9,1.5,1.6,0.3
5IAH1,0.9,0.8,1.1,1,0.7,1,0.7,1.7,1.8,1.2
2OAH3,2,2.2,2.3,1.8,1.9,2.4,1.6,2.6,1.6,2
13OGR1,0.8,0.6,0.2,0.2,0.5,0.5,0.6,0.4,0.5,0.4
50GA1,0.3,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.2
14IGA2,0.3,0.3,0.4,0.3,0.1,0.2,0.2,0.2,0.2,0.2
7IMR2,0.8,0.6,0.4,0.7,0.3,0.5,0.9,1,0.7,0.9
13IGA1,0.3,0.2,0.3,0.2,0.3,0.4,0.2,0.2,0.3,0.2
1ICL1,2.3,2.5,0.6,0.2,2.7,0.4,1.4,1,0.4,0.2
11IGA3,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1
4ISC2,0.8,0.7,0.4,0.4,0.3,0.7,0.7,0.6,0.6,0.8
7OMR3,0.4,0.3,0.2,0.7,0.9,0.3,0.4,0.4,0.4,0.6
11ICL2,2.3,2.3,0.2,3.5,2.4,0.7,1.6,1,1.4,0.2
5OAH3,0.9,0.8,0.7,1.1,1.3,1.1,1.5,1.7,1.4,0.5
11OGA3,0.1,0.2,0.1,0.1,0.4,0.5,0.3,0.4,0.2,0.1
4IAH2,1.2,1.3,0.5,1.7,0.6,1.1,1.6,1.7,1.6,2.4
4OMR1,1.1,0.4,0.5,0.8,0.9,0.5,1.5,1.3,1.4,0.7
10OAH2,0.9,1.3,1.4,0.7,1.3,1.6,3,0.2,2,1.8
11OCL3,0.2,0.1,0.2,0.4,0.6,0.4,0.2,0.8,0.4,0.3
8IAH1,1,0.5,0.1,0.3,0.7,0.5,0.8,0.9,0.9,1
4IAH1,1.3,2.1,1.7,3.2,2,2.4,2.2,2.2,2,1
7IGA2,0.4,0.4,0.2,0.1,0.3,0.2,0.2,0.3,0.5,0.3
13IGA3,0.2,0.2,0.2,0.3,0.4,0.2,0.3,0.6,0.2,0.1
7ICL2,0.2,0.2,0.3,0.1,0.5,0.4,0.3,0.5,0.2,0.5
8ICL2,2,1.5,0.2,1.9,2.5,3.2,1.9,2.2,2,2.6
8OCL2,0.2,0.2,1,0.3,0.1,0.2,0.3,0.2,0.3,0.2
10IAH2,0.7,2,1.8,2,2.1,1.3,1.4,1.3,2.8,2.4
13ICL2,0.4,0.5,0.6,0.5,0.2,0.2,0.1,3.8,0.5,0.3
3ICL2,1,2.6,1.5,1.1,1.6,3,0.2,0.2,0.3,0.4
